sampleNum,Bus.lax,Bus.lay,Bus.laz,Bus.rx,Bus.ry,Bus.rz,Node01.lax,Node01.lay,Node01.laz,Node01.rx,Node01.ry,Node01.rz,Node02.lax,Node02.lay,Node02.laz,Node02.rx,Node02.ry,Node02.rz,Node03.lax,Node03.lay,Node03.laz,Node03.rx,Node03.ry,Node03.rz,Node04.lax,Node04.lay,Node04.laz,Node04.rx,Node04.ry,Node04.rz,Node05.lax,Node05.lay,Node05.laz,Node05.rx,Node05.ry,Node05.rz
2710,0.0,0.0,0.0,0.0,0.0,0.0,-0.05355855,-0.06068787,-0.04876734,2.29580593,0.54801905,1.56138825,0.0002125,0.00022561,-0.00048109,-2.91615295,-0.34693894,-3.03902841,0.03724176,-0.06473058,0.07788407,-1.84284532,-0.03539481,1.7107321,9.863e-05,0.00054607,0.00028419,2.81953692,-0.49087116,-2.96563983,-0.00013265,-0.00018037,0.00052862,1.16483676,-1.36548579,2.10585022
2711,0.0,0.0,0.0,0.0,0.0,0.0,-0.05699841,-0.05966755,-0.05113591,2.2966156,0.54519594,1.56343758,-0.00046673,0.00038446,-7.975e-05,-2.91616416,-0.3469516,-3.03901577,0.02634067,-0.05578981,0.04779366,-1.84740877,-0.01323888,1.70794821,-0.00067781,0.00058683,0.00010086,2.81951427,-0.49087435,-2.96562505,0.00021028,5.468e-05,0.00052951,1.16484845,-1.36549568,2.10584354
2712,0.0,0.0,0.0,0.0,0.0,0.0,-0.05618114,-0.06099788,-0.03386911,2.29494953,0.54166633,1.56438422,-0.00046529,0.0004834,-0.00054323,-2.91615605,-0.34697333,-3.03899527,-0.01646124,-0.04575865,0.02278469,-1.85415804,0.01010552,1.70490646,-0.00040651,0.00082361,0.00067353,2.81952,-0.49086902,-2.965626,-0.00022075,0.00070676,0.00017814,1.16472518,-1.36549294,2.10595465
2713,0.0,0.0,0.0,0.0,0.0,0.0,-0.05566379,-0.06673095,-0.00743958,2.29358792,0.53706169,1.56596792,-7.775e-05,-0.00049703,-0.00080952,-2.91616821,-0.34697607,-3.03898048,-0.06217824,-0.03189237,-0.02047489,-1.86218464,0.03419766,1.70190477,-0.00014687,-0.00055631,-0.00010857,2.81953716,-0.49086317,-2.96562672,-0.00023736,0.00058752,0.00058676,1.16462719,-1.36548269,2.10605049
2714,0.0,0.0,0.0,0.0,0.0,0.0,-0.06056282,-0.07340134,0.00984708,2.29115844,0.53279948,1.56778836,-0.00040091,-0.00016929,4.536e-05,-2.91616488,-0.34697229,-3.03897738,-0.10108813,-0.01968525,-0.0661732,-1.8711741,0.05862082,1.69891238,1.147e-05,0.00021469,3.16e-05,2.81952167,-0.49085784,-2.96562767,-0.00010704,-0.00025242,0.0001705,1.16458309,-1.36548424,2.1061132
2715,0.0,0.0,0.0,0.0,0.0,0.0,-0.07221087,-0.0839094,0.00896534,2.28810072,0.52907407,1.57054651,-0.00060038,0.00051264,-0.00028106,-2.9161756,-0.34698215,-3.03896523,-0.12978075,0.01318111,-0.1112583,-1.88050425,0.0830752,1.69594038,-5.275e-05,-0.00022861,0.00016425,2.81952953,-0.49084339,-2.96563196,1.888e-05,2.507e-05,0.00052299,1.1645366,-1.36547852,2.10615587
2716,0.0,0.0,0.0,0.0,0.0,0.0,-0.08521203,-0.09963943,-0.00582861,2.28385711,0.52617693,1.57358527,-0.00012146,0.00032999,-0.00058137,-2.91620207,-0.3469727,-3.03893733,-0.1486797,0.02735676,-0.14736389,-1.88933122,0.10713436,1.69327605,-5.132e-05,7.593e-05,-0.0001812,2.819525,-0.49084485,-2.9656558,-0.00035408,-2.617e-05,0.00049592,1.16462314,-1.3654927,2.10607433
2717,0.0,0.0,0.0,0.0,0.0,0.0,-0.09294666,-0.11994699,-0.03320761,2.28023601,0.52363163,1.57685757,-0.00041294,-7.412e-05,-0.0003619,-2.91621399,-0.34697443,-3.03892231,-0.15904848,0.02876528,-0.17774545,-1.89733732,0.1309927,1.6907773,0.00014917,0.00054548,0.00028692,2.81953478,-0.49082685,-2.9656868,1.148e-05,0.00020994,0.00049856,1.16468084,-1.36550891,2.10600114
2718,0.0,0.0,0.0,0.0,0.0,0.0,-0.09305049,-0.13815674,-0.06763133,2.27527165,0.52179682,1.57913482,4.07e-05,-0.0003568,-0.0002277,-2.91621733,-0.34698573,-3.03889942,-0.15660894,0.0359544,-0.20195927,-1.90443814,0.15525344,1.68827212,0.00017078,-0.00026235,-0.00036775,2.81951571,-0.49081486,-2.96570277,-0.00052032,9.958e-05,0.00027152,1.16466272,-1.36551476,2.10601568
2719,0.0,0.0,0.0,0.0,0.0,0.0,-0.0907262,-0.14841224,-0.09712642,2.27218986,0.51906049,1.58150434,-0.00031722,0.00053885,-0.00033882,-2.91624379,-0.34699044,-3.03887343,-0.13953657,0.06779854,-0.2304986,-1.91072452,0.17988896,1.68537867,0.00012379,-8.029e-05,0.00038868,2.81951714,-0.49081203,-2.96571517,-3.375e-05,0.000461,0.0008418,1.16458547,-1.36550689,2.10607886
